Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637208616991161955	500	500	1	1	1000	132	0	1	0	0	1	0
637208617001142526	500	129	0	1	1000	0	0	0	0	0	0	0
637208617011143098	500	500	1	1	1000	627	0	1	1	1	0	0
637208617021153670	500	500	1	1	1000	129	0	1	1	0	0	0
637208617031134241	500	128	0	1	1000	0	0	0	0	0	0	0
637208617041164815	500	500	1	1	1000	631	0	1	1	1	1	0
637208617051145386	500	500	1	1	1000	130	0	1	0	1	0	0
637208617061125957	500	128	0	1	1000	0	0	0	0	0	0	0
637208617071146530	500	500	1	1	1000	630	0	1	0	1	1	0
637208617081147102	500	500	1	1	1000	129	0	1	1	0	0	0
637208617091127673	500	128	0	1	1000	0	0	0	0	0	0	0
637208617101158246	500	500	1	1	1000	631	0	1	1	1	1	0
637208617111138817	500	500	1	1	1000	129	0	1	1	0	0	0
637208617121169391	500	132	0	1	1000	0	0	0	0	0	0	0
637208617131169963	500	500	1	1	1000	630	0	1	0	1	1	0
637208617141160534	500	500	1	1	1000	129	0	1	1	0	0	0
637208617151181108	500	132	0	1	1000	0	0	0	0	0	0	0
637208617161171679	500	500	1	1	1000	632	0	1	0	0	0	1
637208617171132249	500	500	1	1	1000	128	0	1	0	0	0	0
637208617181152822	500	130	0	1	1000	0	0	0	0	0	0	0
637208617191143393	500	500	1	1	1000	630	0	1	0	1	1	0
637208617201173967	500	500	1	1	1000	133	0	1	1	0	1	0
637208617211164538	500	133	0	1	1000	0	0	0	0	0	0	0
637208617221155110	500	500	1	1	1000	632	0	1	0	0	0	1
637208617231135681	500	500	1	1	1000	130	0	1	0	1	0	0
