Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637176528002961318	500	500	1	1	1000	505	0	1	1	0	0	1
637176528012991892	500	500	1	1	1000	8	0	1	0	0	0	1
637176528022972463	500	6	0	1	1000	0	0	0	0	0	0	0
637176528033003036	500	500	1	1	1000	506	0	1	1	1	1	1
637176528042983607	500	500	1	1	1000	8	0	1	0	0	0	1
637176528052974179	500	6	0	1	1000	0	0	0	0	0	0	0
637176528063044755	500	500	1	1	1000	514	0	1	0	1	0	0
637176528073035326	500	500	1	1	1000	13	0	1	1	0	1	1
637176528083045899	500	15	0	1	1000	0	0	0	0	0	0	0
637176528093046471	500	500	1	1	1000	514	0	1	0	1	0	0
637176528103017041	500	500	1	1	1000	12	0	1	0	0	1	1
637176528113027613	500	14	0	1	1000	0	0	0	0	0	0	0
637176528123018185	500	500	1	1	1000	513	0	1	1	0	0	0
637176528133048759	500	500	1	1	1000	16	0	1	0	0	0	0
637176528143079332	500	18	0	1	1000	0	0	0	0	0	0	0
637176528153059903	500	500	1	1	1000	517	0	1	1	0	1	0
637176528163050475	500	500	1	1	1000	16	0	1	0	0	0	0
637176528173071048	500	20	0	1	1000	0	0	0	0	0	0	0
637176528183041618	500	500	1	1	1000	516	0	1	0	0	1	0
637176528193072192	500	500	1	1	1000	20	0	1	0	0	1	0
637176528203062763	500	19	0	1	1000	0	0	0	0	0	0	0
637176528213053335	500	500	1	1	1000	517	0	1	1	0	1	0
637176528223063907	500	500	1	1	1000	18	0	1	0	1	0	0
637176528233104481	500	22	0	1	1000	0	0	0	0	0	0	0
637176528243075052	500	500	1	1	1000	520	0	1	0	0	0	1
637176528253055623	500	500	1	1	1000	17	0	1	1	0	0	0
637176528263076196	500	21	0	1	1000	0	0	0	0	0	0	0
637176528273056767	500	500	1	1	1000	518	0	1	0	1	1	0
637176528283087340	500	500	1	1	1000	21	0	1	1	0	1	0
637176528293097913	500	24	0	1	1000	0	0	0	0	0	0	0
637176528303128487	500	500	1	1	1000	527	0	1	1	1	1	1
637176528313099057	500	500	1	1	1000	25	0	1	1	0	0	1
637176528323119630	500	26	0	1	1000	0	0	0	0	0	0	0
637176528333130203	500	500	1	1	1000	528	0	1	0	0	0	0
637176528343110773	500	500	1	1	1000	25	0	1	1	0	0	1
637176528353141347	500	28	0	1	1000	0	0	0	0	0	0	0
637176528363111917	500	500	1	1	1000	526	0	1	0	1	1	1
637176528373142491	500	500	1	1	1000	28	0	1	0	0	1	1
637176528383113061	500	26	0	1	1000	0	0	0	0	0	0	0
637176528393093632	500	500	1	1	1000	524	0	1	0	0	1	1
637176528403124206	500	500	1	1	1000	27	0	1	1	1	0	1
637176528413104777	500	24	0	1	1000	0	0	0	0	0	0	0
637176528423125350	500	500	1	1	1000	527	0	1	1	1	1	1
637176528433135923	500	500	1	1	1000	28	0	1	0	0	1	1
637176528443106493	500	25	0	1	1000	0	0	0	0	0	0	0
637176528453137067	500	500	1	1	1000	529	0	1	1	0	0	0
637176528463127638	500	500	1	1	1000	28	0	1	0	0	1	1
637176528473108209	500	26	0	1	1000	0	0	0	0	0	0	0
637176528483108781	500	500	1	1	1000	525	0	1	1	0	1	1
637176528493119353	500	500	1	1	1000	27	0	1	1	1	0	1
637176528503149927	500	25	0	1	1000	0	0	0	0	0	0	0
637176528513130498	500	500	1	1	1000	528	0	1	0	0	0	0
637176528523101068	500	500	1	1	1000	26	0	1	0	1	0	1
637176528533191645	500	34	0	1	1000	0	0	0	0	0	0	0
637176528543172216	500	500	1	1	1000	533	0	1	1	0	1	0
637176528553212791	500	500	1	1	1000	36	0	1	0	0	1	0
637176528563183361	500	33	0	1	1000	0	0	0	0	0	0	0
637176528573203934	500	500	1	1	1000	535	0	1	1	1	1	0
637176528583184505	500	500	1	1	1000	33	0	1	1	0	0	0
637176528593205078	500	36	0	1	1000	0	0	0	0	0	0	0
637176528603185649	500	500	1	1	1000	533	0	1	1	0	1	0
637176528613206222	500	500	1	1	1000	36	0	1	0	0	1	0
637176528623186793	500	34	0	1	1000	0	0	0	0	0	0	0
637176528633227367	500	500	1	1	1000	537	0	1	1	0	0	1
637176528643187937	500	500	1	1	1000	34	0	1	0	1	0	0
637176528653188509	500	33	0	1	1000	0	0	0	0	0	0	0
637176528663199081	500	500	1	1	1000	536	0	1	0	0	0	1
637176528673179652	500	500	1	1	1000	33	0	1	1	0	0	0
637176528683230227	500	33	0	1	1000	0	0	0	0	0	0	0
637176528693210798	500	500	1	1	1000	536	0	1	0	0	0	1
637176528703201369	500	500	1	1	1000	35	0	1	1	1	0	0
