Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637176658424373073	500	500	1	1	1000	898	0	1	0	1	0	0
637176658424473073	500	500	1	1	1000	904	0	1	0	0	0	1
637176658424573073	500	500	1	1	1000	915	0	1	1	1	0	0
637176658424673073	500	500	1	1	1000	926	0	1	0	1	1	1
637176658424773073	500	500	1	1	1000	937	0	1	1	0	0	1
637176658424873074	500	500	1	1	1000	948	0	1	0	0	1	0
637176658424973074	500	500	1	1	1000	954	0	1	0	1	0	1
637176658425073074	500	500	1	1	1000	965	0	1	1	0	1	0
637176658425173074	500	500	1	1	1000	976	0	1	0	0	0	0
637176658425273074	500	500	1	1	1000	987	0	1	1	1	0	1
637176658425373074	500	500	1	1	1000	998	0	1	0	1	1	0
637176658425473074	500	4	0	1	1000	0	0	0	0	0	0	0
637176658425573075	500	16	0	1	1000	0	0	0	0	0	0	0
637176658425673075	500	27	0	1	1000	0	0	0	0	0	0	0
637176658425773075	500	38	0	1	1000	0	0	0	0	0	0	0
637176658425873075	500	44	0	1	1000	0	0	0	0	0	0	0
637176658425973075	500	55	0	1	1000	0	0	0	0	0	0	0
637176658426173075	500	67	0	1	1000	0	0	0	0	0	0	0
637176658426273076	500	89	0	1	1000	0	0	0	0	0	0	0
637176658426373076	500	94	0	1	1000	0	0	0	0	0	0	0
637176658426473076	500	106	0	1	1000	0	0	0	0	0	0	0
637176658426573076	500	117	0	1	1000	0	0	0	0	0	0	0
637176658426673076	500	128	0	1	1000	0	0	0	0	0	0	0
637176658426773076	500	134	0	1	1000	0	0	0	0	0	0	0
637176658426873076	500	145	0	1	1000	0	0	0	0	0	0	0
637176658426973077	500	156	0	1	1000	0	0	0	0	0	0	0
637176658427073077	500	167	0	1	1000	0	0	0	0	0	0	0
637176658427173077	500	178	0	1	1000	0	0	0	0	0	0	0
637176658427273077	500	184	0	1	1000	0	0	0	0	0	0	0
637176658427373077	500	195	0	1	1000	0	0	0	0	0	0	0
637176658427473077	500	206	0	1	1000	0	0	0	0	0	0	0
637176658427573077	500	217	0	1	1000	0	0	0	0	0	0	0
637176658427673078	500	228	0	1	1000	0	0	0	0	0	0	0
637176658427773078	500	234	0	1	1000	0	0	0	0	0	0	0
637176658427873078	500	245	0	1	1000	0	0	0	0	0	0	0
637176658427973078	500	256	0	1	1000	0	0	0	0	0	0	0
637176658428073078	500	267	0	1	1000	0	0	0	0	0	0	0
637176658428173078	500	278	0	1	1000	0	0	0	0	0	0	0
637176658428273078	500	284	0	1	1000	0	0	0	0	0	0	0
637176658428373078	500	295	0	1	1000	0	0	0	0	0	0	0
637176658428473079	500	306	0	1	1000	0	0	0	0	0	0	0
637176658428573079	500	318	0	1	1000	0	0	0	0	0	0	0
637176658428673079	500	324	0	1	1000	0	0	0	0	0	0	0
637176658428773079	500	335	0	1	1000	0	0	0	0	0	0	0
637176658428873079	500	346	0	1	1000	0	0	0	0	0	0	0
637176658428973079	500	357	0	1	1000	0	0	0	0	0	0	0
637176658429073079	500	368	0	1	1000	0	0	0	0	0	0	0
637176658429173080	500	374	0	1	1000	0	0	0	0	0	0	0
637176658429273080	500	385	0	1	1000	0	0	0	0	0	0	0
637176658429373080	500	396	0	1	1000	0	0	0	0	0	0	0
637176658429473080	500	407	0	1	1000	0	0	0	0	0	0	0
637176658429573080	500	414	0	1	1000	0	0	0	0	0	0	0
637176658429673080	500	425	0	1	1000	0	0	0	0	0	0	0
637176658429783081	500	436	0	1	1000	0	0	0	0	0	0	0
637176658429883081	500	447	0	1	1000	0	0	0	0	0	0	0
637176658429983081	500	458	0	1	1000	0	0	0	0	0	0	0
637176658430083081	500	465	0	1	1000	0	0	0	0	0	0	0
637176658430183082	500	475	0	1	1000	0	0	0	0	0	0	0
637176658430283082	500	487	0	1	1000	0	0	0	0	0	0	0
637176658430383082	500	498	0	1	1000	0	0	0	0	0	0	0
637176658430483082	500	500	1	1	1000	9	0	1	1	0	0	1
637176658430583082	500	500	1	1	1000	15	0	1	1	1	1	1
637176658430683082	500	500	1	1	1000	26	0	1	0	1	0	1
637176658430783082	500	500	1	1	1000	37	0	1	1	0	1	0
637176658430883083	500	500	1	1	1000	48	0	1	0	0	0	0
637176658430983083	500	500	1	1	1000	59	0	1	1	1	0	1
637176658431083083	500	500	1	1	1000	66	0	1	0	1	0	0
637176658431183083	500	500	1	1	1000	76	0	1	0	0	1	1
637176658431283083	500	500	1	1	1000	87	0	1	1	1	1	0
637176658431383083	500	500	1	1	1000	99	0	1	1	1	0	0
637176658431483083	500	500	1	1	1000	110	0	1	0	1	1	1
637176658431583084	500	500	1	1	1000	116	0	1	0	0	1	0
637176658431783084	500	500	1	1	1000	137	0	1	1	0	0	1
637176658431883084	500	500	1	1	1000	149	0	1	1	0	1	0
637176658431983084	500	500	1	1	1000	155	0	1	1	1	0	1
637176658432083084	500	500	1	1	1000	166	0	1	0	1	1	0
637176658432183084	500	500	1	1	1000	177	0	1	1	0	0	0
637176658432283085	500	500	1	1	1000	188	0	1	0	0	1	1
637176658432383085	500	500	1	1	1000	199	0	1	1	1	1	0
637176658432483085	500	500	1	1	1000	205	0	1	1	0	1	1
637176658432583085	500	500	1	1	1000	216	0	1	0	0	0	1
637176658432683085	500	500	1	1	1000	227	0	1	1	1	0	0
637176658432783085	500	500	1	1	1000	238	0	1	0	1	1	1
637176658432883085	500	500	1	1	1000	249	0	1	1	0	0	1
637176658432983086	500	500	1	1	1000	255	0	1	1	1	1	1
637176658433083086	500	500	1	1	1000	266	0	1	0	1	0	1
637176658433183086	500	500	1	1	1000	278	0	1	0	1	1	0
637176658433283086	500	500	1	1	1000	289	0	1	1	0	0	0
637176658433383086	500	500	1	1	1000	295	0	1	1	0	1	1
637176658433483086	500	500	1	1	1000	306	0	1	0	1	0	0
637176658433583086	500	500	1	1	1000	317	0	1	1	0	1	1
637176658433683086	500	500	1	1	1000	328	0	1	0	0	0	1
637176658433783087	500	500	1	1	1000	339	0	1	1	1	0	0
637176658433883087	500	500	1	1	1000	345	0	1	1	1	1	1
637176658433983087	500	500	1	1	1000	355	0	1	1	1	0	0
637176658434083087	500	500	1	1	1000	367	0	1	1	1	1	1
637176658434183087	500	500	1	1	1000	378	0	1	0	1	0	1
637176658434283087	500	500	1	1	1000	389	0	1	1	0	1	0
637176658434383087	500	500	1	1	1000	395	0	1	1	1	0	1
637176658434483088	500	500	1	1	1000	406	0	1	0	1	1	0
637176658434583088	500	500	1	1	1000	417	0	1	1	0	0	0
637176658434683088	500	500	1	1	1000	428	0	1	0	0	1	1
637176658434783088	500	500	1	1	1000	439	0	1	1	1	1	0
637176658434883088	500	500	1	1	1000	445	0	1	1	0	1	1
637176658434983088	500	500	1	1	1000	456	0	1	0	0	0	1
637176658435083088	500	500	1	1	1000	468	0	1	0	0	1	0
637176658435183089	500	500	1	1	1000	479	0	1	1	1	1	1
637176658435283089	500	500	1	1	1000	485	0	1	1	0	1	0
637176658435383089	500	500	1	1	1000	496	0	1	0	0	0	0
637176658435483089	500	500	1	1	1000	507	0	1	1	1	0	1
637176658435583089	500	500	1	1	1000	519	0	1	1	1	1	0
637176658435683089	500	500	1	1	1000	530	0	1	0	1	0	0
637176658435783089	500	500	1	1	1000	535	0	1	1	1	1	0
637176658435883090	500	500	1	1	1000	546	0	1	0	1	0	0
637176658435983090	500	500	1	1	1000	558	0	1	0	1	1	1
637176658436083090	500	500	1	1	1000	569	0	1	1	0	0	1
637176658436183090	500	500	1	1	1000	580	0	1	0	0	1	0
637176658436283090	500	500	1	1	1000	585	0	1	1	0	0	1
637176658436383090	500	500	1	1	1000	597	0	1	1	0	1	0
637176658436483090	500	500	1	1	1000	608	0	1	0	0	0	0
637176658436583091	500	500	1	1	1000	619	0	1	1	1	0	1
637176658436683091	500	500	1	1	1000	625	0	1	1	0	0	0
637176658436783091	500	500	1	1	1000	636	0	1	0	0	1	1
637176658436883091	500	500	1	1	1000	647	0	1	1	1	1	0
637176658436983091	500	500	1	1	1000	658	0	1	0	1	0	0
637176658437083091	500	500	1	1	1000	669	0	1	1	0	1	1
637176658437183091	500	500	1	1	1000	675	0	1	1	1	0	0
637176658437283092	500	500	1	1	1000	686	0	1	0	1	1	1
637176658437383092	500	500	1	1	1000	698	0	1	0	1	0	1
637176658437483092	500	500	1	1	1000	709	0	1	1	0	1	0
637176658437583092	500	500	1	1	1000	720	0	1	0	0	0	0
637176658437683092	500	500	1	1	1000	726	0	1	0	1	1	0
637176658437783092	500	500	1	1	1000	737	0	1	1	0	0	0
637176658437883092	500	500	1	1	1000	748	0	1	0	0	1	1
637176658437983093	500	500	1	1	1000	759	0	1	1	1	1	0
637176658438083093	500	500	1	1	1000	765	0	1	1	0	1	1
637176658438183093	500	500	1	1	1000	776	0	1	0	0	0	1
637176658438283093	500	500	1	1	1000	787	0	1	1	1	0	0
637176658438383093	500	500	1	1	1000	798	0	1	0	1	1	1
637176658438483093	500	500	1	1	1000	809	0	1	1	0	0	1
637176658438583093	500	500	1	1	1000	815	0	1	1	1	1	1
637176658438683093	500	500	1	1	1000	827	0	1	1	1	0	1
637176658438783094	500	500	1	1	1000	838	0	1	0	1	1	0
637176658438883094	500	500	1	1	1000	849	0	1	1	0	0	0
637176658438983094	500	500	1	1	1000	855	0	1	1	1	1	0
637176658439083094	500	500	1	1	1000	866	0	1	0	1	0	0
637176658439183094	500	500	1	1	1000	877	0	1	1	0	1	1
637176658439283094	500	500	1	1	1000	888	0	1	0	0	0	1
637176658439383094	500	500	1	1	1000	899	0	1	1	1	0	0
637176658439483095	500	500	1	1	1000	905	0	1	1	0	0	1
637176658439583095	500	500	1	1	1000	916	0	1	0	0	1	0
637176658439683095	500	500	1	1	1000	927	0	1	1	1	1	1
637176658439783095	500	500	1	1	1000	938	0	1	0	1	0	1
637176658439893096	500	500	1	1	1000	950	0	1	0	1	1	0
637176658439993096	500	500	1	1	1000	961	0	1	1	0	0	0
637176658440093096	500	500	1	1	1000	967	0	1	1	1	1	0
637176658440193096	500	500	1	1	1000	978	0	1	0	1	0	0
637176658440293096	500	500	1	1	1000	989	0	1	1	0	1	1
637176658440393096	500	0	0	1	1000	0	0	0	0	0	0	0
637176658440493097	500	6	0	1	1000	0	0	0	0	0	0	0
637176658440593097	500	17	0	1	1000	0	0	0	0	0	0	0
637176658440693097	500	28	0	1	1000	0	0	0	0	0	0	0
637176658440793097	500	39	0	1	1000	0	0	0	0	0	0	0
637176658440893097	500	50	0	1	1000	0	0	0	0	0	0	0
637176658440993097	500	56	0	1	1000	0	0	0	0	0	0	0
637176658441093097	500	67	0	1	1000	0	0	0	0	0	0	0
637176658441193098	500	78	0	1	1000	0	0	0	0	0	0	0
637176658441293098	500	89	0	1	1000	0	0	0	0	0	0	0
637176658441393098	500	101	0	1	1000	0	0	0	0	0	0	0
637176658441493098	500	106	0	1	1000	0	0	0	0	0	0	0
637176658441593098	500	117	0	1	1000	0	0	0	0	0	0	0
637176658441693098	500	129	0	1	1000	0	0	0	0	0	0	0
637176658441793098	500	140	0	1	1000	0	0	0	0	0	0	0
637176658441893099	500	146	0	1	1000	0	0	0	0	0	0	0
637176658441993099	500	156	0	1	1000	0	0	0	0	0	0	0
637176658442093099	500	168	0	1	1000	0	0	0	0	0	0	0
637176658442193099	500	179	0	1	1000	0	0	0	0	0	0	0
637176658442293099	500	190	0	1	1000	0	0	0	0	0	0	0
637176658442393099	500	196	0	1	1000	0	0	0	0	0	0	0
637176658442493099	500	207	0	1	1000	0	0	0	0	0	0	0
637176658442593100	500	218	0	1	1000	0	0	0	0	0	0	0
637176658442693100	500	229	0	1	1000	0	0	0	0	0	0	0
637176658442793100	500	240	0	1	1000	0	0	0	0	0	0	0
637176658442893100	500	246	0	1	1000	0	0	0	0	0	0	0
637176658442993100	500	257	0	1	1000	0	0	0	0	0	0	0
637176658443093100	500	269	0	1	1000	0	0	0	0	0	0	0
