Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637208616710215886	500	500	1	1	1000	532	0	1	0	0	1	0
637208616720216458	500	500	1	1	1000	33	0	1	1	0	0	0
637208616730247032	500	36	0	1	1000	0	0	0	0	0	0	0
637208616740227602	500	500	1	1	1000	533	0	1	1	0	1	0
637208616750208173	500	500	1	1	1000	31	0	1	1	1	1	1
637208616760238747	500	35	0	1	1000	0	0	0	0	0	0	0
637208616770249320	500	500	1	1	1000	537	0	1	1	0	0	1
637208616780229890	500	500	1	1	1000	36	0	1	0	0	1	0
637208616790220462	500	33	0	1	1000	0	0	0	0	0	0	0
637208616800231034	500	500	1	1	1000	536	0	1	0	0	0	1
637208616810231606	500	500	1	1	1000	35	0	1	1	1	0	0
637208616820262180	500	39	0	1	1000	0	0	0	0	0	0	0
637208616830232750	500	500	1	1	1000	537	0	1	1	0	0	1
637208616840223322	500	500	1	1	1000	35	0	1	1	1	0	0
637208616850263896	500	39	0	1	1000	0	0	0	0	0	0	0
637208616860224466	500	500	1	1	1000	536	0	1	0	0	0	1
637208616870245039	500	500	1	1	1000	36	0	1	0	0	1	0
637208616880275613	500	41	0	1	1000	0	0	0	0	0	0	0
637208616890236182	500	500	1	1	1000	536	0	1	0	0	0	1
637208616900226754	500	500	1	1	1000	37	0	1	1	0	1	0
637208616910227326	500	36	0	1	1000	0	0	0	0	0	0	0
637208616920237898	500	500	1	1	1000	538	0	1	0	1	0	1
637208616930228470	500	500	1	1	1000	36	0	1	0	0	1	0
637208616940269044	500	40	0	1	1000	0	0	0	0	0	0	0
637208616950239614	500	500	1	1	1000	538	0	1	0	1	0	1
637208616960270188	500	500	1	1	1000	41	0	1	1	0	0	1
637208616970250759	500	39	0	1	1000	0	0	0	0	0	0	0
637208616980271332	500	500	1	1	1000	541	0	1	1	0	1	1
637208616990241902	500	500	1	1	1000	38	0	1	0	1	1	0
637208617000232474	500	37	0	1	1000	0	0	0	0	0	0	0
637208617010253047	500	500	1	1	1000	539	0	1	1	1	0	1
637208617020273620	500	500	1	1	1000	42	0	1	0	1	0	1
637208617030254191	500	40	0	1	1000	0	0	0	0	0	0	0
637208617040244762	500	500	1	1	1000	538	0	1	0	1	0	1
637208617050275336	500	500	1	1	1000	42	0	1	0	1	0	1
637208617060255907	500	40	0	1	1000	0	0	0	0	0	0	0
637208617070236478	500	500	1	1	1000	538	0	1	0	1	0	1
637208617080267052	500	500	1	1	1000	42	0	1	0	1	0	1
637208617090257623	500	40	0	1	1000	0	0	0	0	0	0	0
637208617100238194	500	500	1	1	1000	539	0	1	1	1	0	1
637208617110258767	500	500	1	1	1000	41	0	1	1	0	0	1
637208617120239338	500	40	0	1	1000	0	0	0	0	0	0	0
637208617130229909	500	500	1	1	1000	538	0	1	0	1	0	1
637208617140270484	500	500	1	1	1000	42	0	1	0	1	0	1
637208617150251054	500	40	0	1	1000	0	0	0	0	0	0	0
637208617160241626	500	500	1	1	1000	539	0	1	1	1	0	1
637208617170262199	500	500	1	1	1000	41	0	1	1	0	0	1
637208617180282772	500	43	0	1	1000	0	0	0	0	0	0	0
637208617190293345	500	500	1	1	1000	542	0	1	0	1	1	1
