Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637383960146285052	500	500	1	1	1000	516	0	1	0	0	1	0
637383960156345627	500	500	1	1	1000	13	0	1	1	0	1	1
637383960166276195	500	16	0	1	1000	0	0	0	0	0	0	0
637383960176266767	500	500	1	1	1000	514	0	1	0	1	0	0
637383960186297341	500	500	1	1	1000	14	0	1	0	1	1	1
637383960196297913	500	14	0	1	1000	0	0	0	0	0	0	0
637383960206298485	500	500	1	1	1000	518	0	1	0	1	1	0
637383960210338716	500	500	1	1	1000	922	0	1	0	1	0	1
637383960210388718	500	500	1	1	1000	928	0	1	0	0	0	0
637383960210448722	500	500	1	1	1000	933	0	1	1	0	1	0
637383960210508725	500	500	1	1	1000	939	0	1	1	1	0	1
637383960210568729	500	500	1	1	1000	945	0	1	1	0	0	0
637383960210618732	500	500	1	1	1000	951	0	1	1	1	1	0
637383960210678735	500	500	1	1	1000	956	0	1	0	0	1	1
637383960210738738	500	500	1	1	1000	962	0	1	0	1	0	0
637383960210798742	500	500	1	1	1000	968	0	1	0	0	0	1
637383960210858745	500	500	1	1	1000	974	0	1	0	1	1	1
637383960210918749	500	500	1	1	1000	979	0	1	1	1	0	0
637383960210968752	500	500	1	1	1000	985	0	1	1	0	0	1
637383960211018755	500	500	1	1	1000	991	0	1	1	1	1	1
637383960211078758	500	500	1	1	1000	996	0	1	0	0	1	0
637383960211138761	500	2	0	1	1000	0	0	0	0	0	0	0
637383960211188764	500	8	0	1	1000	0	0	0	0	0	0	0
637383960211258768	500	13	0	1	1000	0	0	0	0	0	0	0
637383960211318772	500	19	0	1	1000	0	0	0	0	0	0	0
