Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637176507585727709	500	500	1	1	1000	118	0	1	0	1	1	0
637176507595668278	500	116	0	1	1000	0	0	0	0	0	0	0
637176507605698841	500	500	1	1	1000	618	0	1	0	1	0	1
637176507615679411	500	500	1	1	1000	116	0	1	0	0	1	0
637176507625709985	500	114	0	1	1000	0	0	0	0	0	0	0
637176507635710557	500	500	1	1	1000	618	0	1	0	1	0	1
637176507645671116	500	500	1	1	1000	115	0	1	1	1	0	0
637176507655711690	500	119	0	1	1000	0	0	0	0	0	0	0
637176507665682260	500	500	1	1	1000	616	0	1	0	0	0	1
637176507675712823	500	500	1	1	1000	119	0	1	1	1	1	0
637176507685683393	500	116	0	1	1000	0	0	0	0	0	0	0
637176507695683915	500	500	1	1	1000	620	0	1	0	0	1	1
637176507705754139	500	500	1	1	1000	123	0	1	1	1	0	1
637176507715724710	500	120	0	1	1000	0	0	0	0	0	0	0
637176507725715270	500	500	1	1	1000	619	0	1	1	1	0	1
637176507735745844	500	500	1	1	1000	123	0	1	1	1	0	1
637176507745726414	500	121	0	1	1000	0	0	0	0	0	0	0
637176507755716975	500	500	1	1	1000	619	0	1	1	1	0	1
637176507765747548	500	500	1	1	1000	123	0	1	1	1	0	1
637176507775738120	500	121	0	1	1000	0	0	0	0	0	0	0
637176507785758693	500	500	1	1	1000	624	0	1	0	0	0	0
637176507795749253	500	500	1	1	1000	123	0	1	1	1	0	1
637176507805729824	500	121	0	1	1000	0	0	0	0	0	0	0
637176507815710395	500	500	1	1	1000	619	0	1	1	1	0	1
637176507825740958	500	500	1	1	1000	123	0	1	1	1	0	1
637176507835771531	500	126	0	1	1000	0	0	0	0	0	0	0
637176507845742102	500	500	1	1	1000	623	0	1	1	1	1	1
637176507855782670	500	500	1	1	1000	126	0	1	0	1	1	1
637176507865763241	500	125	0	1	1000	0	0	0	0	0	0	0
637176507875793815	500	500	1	1	1000	627	0	1	1	1	0	0
637176507885774386	500	500	1	1	1000	126	0	1	0	1	1	1
637176507895764940	500	125	0	1	1000	0	0	0	0	0	0	0
637176507905745511	500	500	1	1	1000	622	0	1	0	1	1	1
637176507915776085	500	500	1	1	1000	126	0	1	0	1	1	1
637176507925756645	500	124	0	1	1000	0	0	0	0	0	0	0
637176507935787218	500	500	1	1	1000	627	0	1	1	1	0	0
637176507945787790	500	500	1	1	1000	127	0	1	1	1	1	1
637176507955758349	500	125	0	1	1000	0	0	0	0	0	0	0
637176507965788923	500	500	1	1	1000	623	0	1	1	1	1	0
637176507975749493	500	500	1	1	1000	124	0	1	0	0	1	1
637176507985780067	500	127	0	1	1000	0	0	0	0	0	0	0
637176507995770627	500	500	1	1	1000	625	0	1	1	0	0	0
637176508005751198	500	500	1	1	1000	124	0	1	0	0	1	1
637176508015791772	500	128	0	1	1000	0	0	0	0	0	0	0
637176508025762342	500	500	1	1	1000	625	0	1	1	0	0	0
637176508035782910	500	500	1	1	1000	126	0	1	0	1	1	1
637176508045753480	500	124	0	1	1000	0	0	0	0	0	0	0
637176508055784054	500	500	1	1	1000	627	0	1	1	1	0	0
637176508065774625	500	500	1	1	1000	126	0	1	0	1	1	1
637176508075755185	500	124	0	1	1000	0	0	0	0	0	0	0
637176508085775758	500	500	1	1	1000	626	0	1	0	1	0	0
637176508095756329	500	500	1	1	1000	124	0	1	0	0	1	1
637176508105766890	500	126	0	1	1000	0	0	0	0	0	0	0
637176508115757445	500	500	1	1	1000	624	0	1	0	0	0	0
637176508125798019	500	500	1	1	1000	128	0	1	0	0	0	0
637176508135788591	500	127	0	1	1000	0	0	0	0	0	0	0
637176508145759161	500	500	1	1	1000	626	0	1	0	1	0	0
637176508155789735	500	500	1	1	1000	129	0	1	1	0	0	0
637176508165760305	500	126	0	1	1000	0	0	0	0	0	0	0
637176508175800879	500	500	1	1	1000	630	0	1	0	1	1	0
637176508185781439	500	500	1	1	1000	128	0	1	0	0	0	0
637176508195772011	500	127	0	1	1000	0	0	0	0	0	0	0
637176508205762582	500	500	1	1	1000	626	0	1	0	1	0	0
637176508215783155	500	500	1	1	1000	129	0	1	1	0	0	0
637176508225763715	500	126	0	1	1000	0	0	0	0	0	0	0
637176508235794288	500	500	1	1	1000	629	0	1	1	0	1	0
637176508245804861	500	500	1	1	1000	131	0	1	1	1	0	0
637176508255775431	500	128	0	1	1000	0	0	0	0	0	0	0
637176508265766003	500	500	1	1	1000	627	0	1	1	1	0	0
637176508275786576	500	500	1	1	1000	130	0	1	0	1	0	0
637176508285807138	500	132	0	1	1000	0	0	0	0	0	0	0
637176508295797709	500	500	1	1	1000	630	0	1	0	1	1	0
637176508305778280	500	500	1	1	1000	129	0	1	1	0	0	0
637176508315808848	500	132	0	1	1000	0	0	0	0	0	0	0
637176508325789419	500	500	1	1	1000	630	0	1	0	1	1	0
637176508335769940	500	500	1	1	1000	129	0	1	1	0	0	0
637176508345800514	500	132	0	1	1000	0	0	0	0	0	0	0
637176508355781084	500	500	1	1	1000	631	0	1	1	1	1	0
637176508365811641	500	500	1	1	1000	135	0	1	1	1	1	0
637176508375802213	500	133	0	1	1000	0	0	0	0	0	0	0
637176508385772783	500	500	1	1	1000	630	0	1	0	1	1	0
637176508395793351	500	500	1	1	1000	132	0	1	0	0	1	0
637176508405773921	500	130	0	1	1000	0	0	0	0	0	0	0
637176508415784494	500	500	1	1	1000	632	0	1	0	0	0	1
637176508425815057	500	500	1	1	1000	135	0	1	1	1	1	0
637176508435795627	500	133	0	1	1000	0	0	0	0	0	0	0
637176508445776198	500	500	1	1	1000	631	0	1	1	1	1	0
637176508455796760	500	500	1	1	1000	133	0	1	1	0	1	0
637176508465777331	500	132	0	1	1000	0	0	0	0	0	0	0
637176508475817905	500	500	1	1	1000	636	0	1	0	0	1	1
637176508485818477	500	500	1	1	1000	136	0	1	0	0	0	1
637176508495799037	500	134	0	1	1000	0	0	0	0	0	0	0
637176508505799609	500	500	1	1	1000	633	0	1	1	0	0	1
637176508515780180	500	500	1	1	1000	131	0	1	1	1	0	0
637176508525810754	500	135	0	1	1000	0	0	0	0	0	0	0
637176508535791325	500	500	1	1	1000	633	0	1	1	0	0	1
637176508545781896	500	500	1	1	1000	131	0	1	1	1	0	0
637176508555812470	500	135	0	1	1000	0	0	0	0	0	0	0
637176508565783040	500	500	1	1	1000	631	0	1	1	1	1	0
637176508575803613	500	500	1	1	1000	134	0	1	0	1	1	0
637176508585784184	500	132	0	1	1000	0	0	0	0	0	0	0
637176508595804757	500	500	1	1	1000	634	0	1	0	1	0	1
637176508605785328	500	500	1	1	1000	133	0	1	1	0	1	0
637176508615785900	500	132	0	1	1000	0	0	0	0	0	0	0
637176508625796473	500	500	1	1	1000	634	0	1	0	1	0	1
637176508635787044	500	500	1	1	1000	132	0	1	0	0	1	0
637176508645807612	500	135	0	1	1000	0	0	0	0	0	0	0
637176508655788182	500	500	1	1	1000	632	0	1	0	0	0	1
637176508665818745	500	500	1	1	1000	136	0	1	0	0	0	1
637176508675789315	500	133	0	1	1000	0	0	0	0	0	0	0
637176508685829890	500	500	1	1	1000	637	0	1	1	0	1	1
637176508695900466	500	500	1	1	1000	134	0	1	0	1	1	0
637176508705831022	500	133	0	1	1000	0	0	0	0	0	0	0
637176508715831594	500	500	1	1	1000	637	0	1	1	0	1	1
637176508725802165	500	500	1	1	1000	135	0	1	1	1	1	0
637176508735832727	500	133	0	1	1000	0	0	0	0	0	0	0
637176508745813293	500	500	1	1	1000	635	0	1	1	1	0	1
637176508755803864	500	500	1	1	1000	135	0	1	1	1	1	0
637176508765794424	500	134	0	1	1000	0	0	0	0	0	0	0
637176508775824998	500	500	1	1	1000	637	0	1	1	0	1	1
637176508785805569	500	500	1	1	1000	134	0	1	0	1	1	0
637176508795836143	500	138	0	1	1000	0	0	0	0	0	0	0
637176508805816697	500	500	1	1	1000	636	0	1	0	0	1	1
637176508815817269	500	500	1	1	1000	136	0	1	0	0	0	1
